"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Thyateira (Darphane)","thyateira-en","46","1","1","en-GB","Ancient mint","Thyateira","This Lydian city, mentioned in sacred texts as one of the Seven Churches, is present-day Akhisar district of Manisa. It was renowned for its textile industry and purple dye production.","lydia-coins"
"Philadelphia (Darphane)","philadelphia-en","46","1","1","en-GB","Ancient mint","Philadelphia","Another of the Seven Churches, Philadelphia is modern Alaşehir district of Manisa. It was founded by King Attalos II Philadelphos of Pergamon.","lydia-coins"
"Magnesia ad Sipylum (Darphane)","magnesia-ad-sipylum-en","46","1","1","en-GB","Ancient mint","Magnesia ad Sipylum","This ancient city established at the foothills of Mount Sipylos (Manisa Mountain) forms the foundation of present-day Manisa city center. It is famous for the Weeping Rock (Niobe) legend.","lydia-coins"
"Tralles (Darphane)","tralles-en","46","1","1","en-GB","Ancient mint","Tralles","An important trade center in the Meander River valley, Tralles is located where present-day Aydın city center stands. It was known as a wealthy coin minting center during the Roman period.","lydia-coins"
"Hypaepa (Darphane)","hypaepa-en","46","1","1","en-GB","Ancient mint","Hypaepa","One of Lydia's smaller but important coin-minting cities, Hypaepa is located near modern Ödemiş district of Izmir. It is known for the cult of Artemis Anaitis.","lydia-coins"
"Hierapolis (Darphane)","hierapolis-en","46","1","1","en-GB","Ancient mint","Hierapolis","Famous for its thermal springs and travertines (Pamukkale), this city is in present-day Pamukkale district of Denizli. It is listed as a UNESCO World Heritage Site.","phrygia-coins"
"Synnada (Darphane)","synnada-en","46","1","1","en-GB","Ancient mint","Synnada","One of Phrygia's important marble centers, Synnada is near modern Şuhut district of Afyonkarahisar. 'Synnadic marble' was highly valued in the ancient world.","phrygia-coins"
"Aizanoi (Darphane)","aizanoi-en","46","1","1","en-GB","Ancient mint","Aizanoi","Home to the best-preserved Zeus temple, Aizanoi is in present-day Çavdarhisar district of Kütahya. It was one of Phrygia's important coin minting centers.","phrygia-coins"
"Eumeneia (Darphane)","eumeneia-en","46","1","1","en-GB","Ancient mint","Eumeneia","Founded by King Eumenes II of Pergamon, this city is near modern İşkilli village of Afyonkarahisar. It was one of the important mint centers of the Phrygian region.","phrygia-coins"
"Kolossai (Darphane)","kolossai-en","46","1","1","en-GB","Ancient mint","Kolossai","Holding an important place in Christian history (Epistle to the Colossians), Kolossai is near modern Honaz district of Denizli.","phrygia-coins"
"Erythrai (Darphane)","erythrai-en","46","1","1","en-GB","Ancient mint","Erythrai","One of the Twelve Ionian Cities, Erythrai is near Ildırı village in Çeşme district of Izmir. It is famous for the Sibyl (oracle) tradition.","ionia-coins"
"Kolophon (Darphane)","kolophon-en","46","1","1","en-GB","Ancient mint","Kolophon","Famous for its powerful cavalry, this Ionian city is near Değirmendere village in Menderes district of Izmir. The English word 'colophon' meaning 'finishing touch' derives from this city's name.","ionia-coins"
"Lebedos (Darphane)","lebedos-en","46","1","1","en-GB","Ancient mint","Lebedos","One of the Twelve Ionian Cities, Lebedos is near Ürkmez village in Seferihisar district of Izmir. It was known for its Dionysian festivals.","ionia-coins"
"Priene (Darphane)","priene-en","46","1","1","en-GB","Ancient mint","Priene","One of the finest examples of classical Greek urban planning, Priene is in Güllübahçe village near Söke district of Aydın. It is famous for its Temple of Athena Polias.","ionia-coins"
"Magnesia ad Maeandrum (Darphane)","magnesia-ad-maeandrum-en","46","1","1","en-GB","Ancient mint","Magnesia ad Maeandrum","Established on the banks of the Great Meander River (ancient Maeander), this city is near Ortaklar district of Aydın. It is famous for the Temple of Artemis Leukophryene.","ionia-coins"
"Nysa ad Maeandrum (Darphane)","nysa-ad-maeandrum-en","46","1","1","en-GB","Ancient mint","Nysa ad Maeandrum","An important education center, Nysa is near modern Sultanhisar district of Aydın. It is known for its theater seating 2,200 people and its library.","ionia-coins"
"Iasos (Darphane)","iasos-en","46","1","1","en-GB","Ancient mint","Iasos","Famous for its fish and seafood, this Carian city is near Kıyıkışlacık village in Milas district of Mugla. Statues of fishing goddesses were discovered here.","caria-coins"
"Alabanda (Darphane)","alabanda-en","46","1","1","en-GB","Ancient mint","Alabanda","Famous for horse breeding and horse-figured coins, Alabanda is in Araphisar village near Çine district of Aydın.","caria-coins"
"Alinda (Darphane)","alinda-en","46","1","1","en-GB","Ancient mint","Alinda","One of the important fortresses of the Carian Kingdom, Alinda is near Karpuzlu in Çine district of Aydın. It was where Queen Ada's treasury was kept.","caria-coins"
"Kaunos (Darphane)","kaunos-en","46","1","1","en-GB","Ancient mint","Kaunos","Famous for its rock tombs and ancient harbor, Kaunos is in the Dalyan region of Mugla. It was a strategic port city on the Caria-Lycia border.","caria-coins"
"Myndos (Darphane)","myndos-en","46","1","1","en-GB","Ancient mint","Myndos","Besieged by Alexander the Great, Myndos is in Gümüşlük village of Bodrum district, Mugla. Ancient harbor structures can still be seen underwater.","caria-coins"
"Phaselis (Darphane)","phaselis-en","46","1","1","en-GB","Ancient mint","Phaselis","Famous for its three harbors, this important trade city is near Kemer district of Antalya. It is known for its Roman aqueducts and ancient harbor remains.","lycia-coins"
"Limyra (Darphane)","limyra-en","46","1","1","en-GB","Ancient mint","Limyra","Famous for its rock tombs and monumental tombs, Limyra is in Turunçova village near Finike district of Antalya. It is one of Lycia's oldest settlements.","lycia-coins"
"Pinara (Darphane)","pinara-en","46","1","1","en-GB","Ancient mint","Pinara","The 'city of tombs' famous for hundreds of rock tombs, Pinara is near Minare village in Fethiye district of Mugla. It was one of the important cities of the Lycian League.","lycia-coins"
"Ariassos (Darphane)","ariassos-en","46","1","1","en-GB","Ancient mint","Ariassos","Built on a high hill, Ariassos is near Yalvaç district of Isparta. It stands out for its stadium and water structures.","pisidia-coins"
"Adada (Darphane)","adada-en","46","1","1","en-GB","Ancient mint","Adada","One of Pisidia's well-preserved cities, Adada is in Sağrak village near Sütçüler district of Isparta. It is known for its two temples and theater.","pisidia-coins"
"Konana (Darphane)","konana-en","46","1","1","en-GB","Ancient mint","Konana","An important Pisidian city, Konana is within the borders of modern Isparta province. It maintained the Pisidian tradition in coin minting.","pisidia-coins"
"Sillyon (Darphane)","sillyon-en","46","1","1","en-GB","Ancient mint","Sillyon","Built on a high hill, Sillyon is near Serik district of Antalya. It has a deep-rooted history dating back to the Assyrian period.","pamphylia-coins"
"Magydos (Darphane)","magydos-en","46","1","1","en-GB","Ancient mint","Magydos","An ancient port city, Magydos is in the Lara region of Antalya. It was one of Pamphylia's small but important coin centers.","pamphylia-coins"
"Aigeai (Darphane)","aigeai-en","46","1","1","en-GB","Ancient mint","Aigeai","Famous for the Asclepius cult and healing center, Aigeai is in modern Yumurtalık district of Adana. It was one of the important port and mint cities of the Cilician region.","cilicia-coins"
"Kelenderis (Darphane)","kelenderis-en","46","1","1","en-GB","Ancient mint","Kelenderis","An important port city due to its strategic location, Kelenderis is present-day Aydıncık district of Mersin. It was also a base used by Cilician pirates.","cilicia-coins"
"Issos (Darphane)","issos-en","46","1","1","en-GB","Ancient mint","Issos","The site of the famous Battle of Issus where Alexander the Great defeated Persian King Darius III, this city is near modern İskenderun district of Hatay.","cilicia-coins"
"Mallos (Darphane)","mallos-en","46","1","1","en-GB","Ancient mint","Mallos","Believed to be founded by the seer Amphilochos, Mallos is near modern Karataş district of Adana. It was one of Cilicia's important coin centers.","cilicia-coins"
"Kastabala (Darphane)","kastabala-en","46","1","1","en-GB","Ancient mint","Kastabala","Famous for the cult of Artemis Perasia, Kastabala is near Kadirli district of Osmaniye. It was an important coin minting center during the Hellenistic and Roman periods.","cilicia-coins"
"Komana (Darphane)","komana-en","46","1","1","en-GB","Ancient mint","Komana","The center of the cult of goddess Ma, Komana is within the borders of modern Adana province. It was an important sacred city and mint center.","cilicia-coins"
"Nicopolis (Darphane)","nicopolis-en","46","1","1","en-GB","Ancient mint","Nicopolis","The 'City of Victory' founded by Roman Emperor Pompey the Great, Nicopolis is near modern Amasya province. It was one of the important Roman mints of the Pontic region.","pontus-coins"
"Komana Pontika (Darphane)","komana-pontika-en","46","1","1","en-GB","Ancient mint","Komana Pontika","The center of the cult of goddess Ma-Enyo, Komana Pontika is near Gümenek village of Tokat. It was an important religious and trade center.","pontus-coins"
"Sebastopolis (Darphane)","sebastopolis-en","46","1","1","en-GB","Ancient mint","Sebastopolis","One of the important cities of the Pontic region, Sebastopolis is within the borders of modern Tokat province. It was a flourishing coin minting center during the Roman period.","pontus-coins"
"Zela (Darphane)","zela-en","46","1","1","en-GB","Ancient mint","Zela","The site of the Battle of Zela where Julius Caesar uttered 'Veni, vidi, vici' (I came, I saw, I conquered), this city is present-day Zile district of Tokat.","pontus-coins"
"Kios (Darphane)","kios-en","46","1","1","en-GB","Ancient mint","Kios","An important port city on the Sea of Marmara, Kios is present-day Gemlik district of Bursa. It was one of Bithynia's early period coin centers.","bithynia-coins"
"Apameia Myrlea (Darphane)","apameia-myrlea-en","46","1","1","en-GB","Ancient mint","Apameia Myrlea","Refounded by King Prusias I of Bithynia, this city is present-day Mudanya district of Bursa. It was an important mint center during the Roman period.","bithynia-coins"
"Iuliopolis (Darphane)","iuliopolis-en","46","1","1","en-GB","Ancient mint","Iuliopolis","Founded during the reign of Roman Emperor Augustus, Iuliopolis is within the borders of modern Bolu province. It was one of the important coin centers in Bithynia's interior regions.","bithynia-coins"
"Ankyra Galatia (Darphane)","ankyra-galatia-en","46","1","1","en-GB","Ancient mint","Ankyra Galatia","The capital of Galatia and location of the Temple of Augustus, Ankyra is present-day Ankara. It was one of the most important mint centers of the Roman Empire in the east.","galatia-coins"
"Neapolis (Darphane)","neapolis-en","46","1","1","en-GB","Ancient mint","Neapolis","An important city in the Cappadocian region, Neapolis is near modern Nevşehir province. It was one of the centers contributing to the region's coin minting.","cappadocia-coins"
"Komana Kappadokia (Darphane)","komana-kappadokia-en","46","1","1","en-GB","Ancient mint","Komana Kappadokia","The Cappadocian center of the cult of goddess Ma, Komana is within the borders of modern Tokat province. It was an important religious and economic center.","cappadocia-coins"
"Kybistra (Darphane)","kybistra-en","46","1","1","en-GB","Ancient mint","Kybistra","One of the important cities in southern Cappadocia, Kybistra is present-day Ereğli district of Karaman. It held a strategic position on the Silk Road.","cappadocia-coins"
"Elaia (Darphane)","elaia-en","46","1","1","en-GB","Ancient mint","Elaia","The port city of Pergamon, Elaia is near Zeytindağ village in Aliağa district of Izmir. It was important for the Kingdom of Pergamon's maritime trade.","aeolis-coins"
"Aigai Aiolis (Darphane)","aigai-aiolis-en","46","1","1","en-GB","Ancient mint","Aigai Aiolis","One of Aeolis's important cities, Aigai is near the Manisa Yunt Mountains of Izmir. It is known for the cult of Apollo Chresterios.","aeolis-coins"
"Alexandreia Troas Ek (Darphane)","alexandreia-troas-ek-en","46","1","1","en-GB","Ancient mint","Alexandreia Troas","This massive port city founded by Alexander the Great's generals and called 'Little Rome' is near Ezine district of Çanakkale. Very intensive coin minting was performed during the Roman period.","troas-coins"
