"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Thyateira (Darphane)","thyateira","46","1","1","*","Antik darphane","Thyateira","Yedi Kilise'den biri olarak kutsal metinlerde de adı geçen bu Lidya kenti, günümüz Manisa'nın Akhisar ilçesidir. Tekstil endüstrisi ve mor boya üretimiyle ünlüydü.","lydia-coins"
"Philadelphia (Darphane)","philadelphia","46","1","1","*","Antik darphane","Philadelphia","Yedi Kilise'den bir diğeri olan Philadelphia, günümüz Manisa'nın Alaşehir ilçesidir. Bergama Kralı II. Attalos Philadelphos tarafından kurulmuştur.","lydia-coins"
"Magnesia ad Sipylum (Darphane)","magnesia-ad-sipylum","46","1","1","*","Antik darphane","Magnesia ad Sipylum","Sipylos Dağı (Manisa Dağı) eteklerinde kurulan bu antik kent, günümüz Manisa il merkezinin temelini oluşturur. Ağlayan Kaya (Niobe) efsanesiyle ünlüdür.","lydia-coins"
"Tralles (Darphane)","tralles","46","1","1","*","Antik darphane","Tralles","Menderes Nehri vadisinde önemli bir ticaret merkezi olan Tralles, günümüz Aydın il merkezinin bulunduğu yerdedir. Roma döneminde zengin bir sikke basım merkezi olarak bilinir.","lydia-coins"
"Hypaepa (Darphane)","hypaepa","46","1","1","*","Antik darphane","Hypaepa","Lidya'nın küçük ama önemli sikke basan kentlerinden biri olan Hypaepa, günümüz İzmir'in Ödemiş ilçesi yakınlarında yer alır. Artemis Anaitis kültüyle bilinir.","lydia-coins"
"Hierapolis (Darphane)","hierapolis","46","1","1","*","Antik darphane","Hierapolis","Termal kaynakları ve travertenler (Pamukkale) ile ünlü bu kent, günümüz Denizli'nin Pamukkale ilçesindedir. UNESCO Dünya Mirası listesinde yer alır.","phrygia-coins"
"Synnada (Darphane)","synnada","46","1","1","*","Antik darphane","Synnada","Frigya'nın önemli mermer merkezlerinden biri olan Synnada, günümüz Afyonkarahisar'ın Şuhut ilçesi yakınlarındadır. 'Synnadik mermeri' antik dünyada çok değerliydi.","phrygia-coins"
"Aizanoi (Darphane)","aizanoi","46","1","1","*","Antik darphane","Aizanoi","En iyi korunmuş Zeus tapınağına sahip olan Aizanoi, günümüz Kütahya'nın Çavdarhisar ilçesindedir. Frigya'nın önemli sikke merkezlerinden biriydi.","phrygia-coins"
"Eumeneia (Darphane)","eumeneia","46","1","1","*","Antik darphane","Eumeneia","Bergama Kralı II. Eumenes tarafından kurulan bu kent, günümüz Afyonkarahisar'ın İşkilli köyü yakınlarındadır. Frigya bölgesinin önemli darphane merkezlerinden biriydi.","phrygia-coins"
"Kolossai (Darphane)","kolossai","46","1","1","*","Antik darphane","Kolossai","Hristiyanlık tarihinde önemli bir yere sahip olan Kolossai (Koloseliler Mektubu), günümüz Denizli'nin Honaz ilçesi yakınlarındadır.","phrygia-coins"
"Erythrai (Darphane)","erythrai","46","1","1","*","Antik darphane","Erythrai","On İki İyon Kenti'nden biri olan Erythrai, günümüz İzmir'in Çeşme ilçesindeki Ildırı köyü yakınlarındadır. Sibyl (kahin) geleneğiyle ünlüdür.","ionia-coins"
"Kolophon (Darphane)","kolophon","46","1","1","*","Antik darphane","Kolophon","Güçlü süvarileriyle ünlü bu İyon kenti, günümüz İzmir'in Menderes ilçesindeki Değirmendere köyü yakınlarındadır. 'Finishing touch' anlamına gelen İngilizce 'colophon' kelimesi buradan gelir.","ionia-coins"
"Lebedos (Darphane)","lebedos","46","1","1","*","Antik darphane","Lebedos","On İki İyon Kenti'nden biri olan Lebedos, günümüz İzmir'in Seferihisar ilçesindeki Ürkmez köyü yakınlarındadır. Dionysos festivalleriyle bilinirdi.","ionia-coins"
"Priene (Darphane)","priene","46","1","1","*","Antik darphane","Priene","Klasik Yunan şehir planlamasının en güzel örneklerinden biri olan Priene, günümüz Aydın'ın Söke ilçesi yakınlarındaki Güllübahçe köyündedir. Athena Polias tapınağıyla ünlüdür.","ionia-coins"
"Magnesia ad Maeandrum (Darphane)","magnesia-ad-maeandrum","46","1","1","*","Antik darphane","Magnesia ad Maeandrum","Büyük Menderes Nehri (antik Maeander) kıyısında kurulan bu kent, günümüz Aydın'ın Ortaklar ilçesi yakınlarındadır. Artemis Leukophryene tapınağıyla ünlüdür.","ionia-coins"
"Nysa ad Maeandrum (Darphane)","nysa-ad-maeandrum","46","1","1","*","Antik darphane","Nysa ad Maeandrum","Önemli bir eğitim merkezi olan Nysa, günümüz Aydın'ın Sultanhisar ilçesi yakınlarındadır. 2.200 kişilik tiyatrosu ve kütüphanesiyle bilinir.","ionia-coins"
"Iasos (Darphane)","iasos","46","1","1","*","Antik darphane","Iasos","Balık ve deniz ürünleriyle ünlü bu Karya kenti, günümüz Muğla'nın Milas ilçesindeki Kıyıkışlacık köyü yakınlarındadır. Balıkçılık tanrıçası heykelleri burada bulunmuştur.","caria-coins"
"Alabanda (Darphane)","alabanda","46","1","1","*","Antik darphane","Alabanda","At yetiştiriciliği ve at figürlü sikkeleriyle ünlü Alabanda, günümüz Aydın'ın Çine ilçesi yakınlarındaki Araphisar köyündedir.","caria-coins"
"Alinda (Darphane)","alinda","46","1","1","*","Antik darphane","Alinda","Karya Krallığı'nın önemli kalelerinden biri olan Alinda, günümüz Aydın'ın Çine ilçesindeki Karpuzlu yakınlarındadır. Ada Kraliçesi'nin hazinesinin saklandığı yerdi.","caria-coins"
"Kaunos (Darphane)","kaunos","46","1","1","*","Antik darphane","Kaunos","Kaya mezarları ve antik limanıyla ünlü Kaunos, günümüz Muğla'nın Dalyan bölgesindedir. Karya-Lykia sınırında stratejik bir liman kentiydi.","caria-coins"
"Myndos (Darphane)","myndos","46","1","1","*","Antik darphane","Myndos","Büyük İskender'in kuşattığı Myndos, günümüz Muğla'nın Bodrum ilçesindeki Gümüşlük köyündedir. Antik liman yapıları hala su altında görülebilir.","caria-coins"
"Phaselis (Darphane)","phaselis","46","1","1","*","Antik darphane","Phaselis","Üç limanıyla ünlü bu önemli ticaret kenti, günümüz Antalya'nın Kemer ilçesi yakınlarındadır. Roma su kemerleri ve antik liman kalıntılarıyla bilinir.","lycia-coins"
"Limyra (Darphane)","limyra","46","1","1","*","Antik darphane","Limyra","Kaya mezarları ve anıt mezarlarıyla ünlü Limyra, günümüz Antalya'nın Finike ilçesi yakınlarındaki Turunçova köyündedir. Lykia'nın en eski yerleşimlerinden biridir.","lycia-coins"
"Pinara (Darphane)","pinara","46","1","1","*","Antik darphane","Pinara","Yüzlerce kaya mezarıyla ünlü 'mezarlar şehri' Pinara, günümüz Muğla'nın Fethiye ilçesindeki Minare köyü yakınlarındadır. Lykia Birliği'nin önemli kentlerinden biriydi.","lycia-coins"
"Ariassos (Darphane)","ariassos","46","1","1","*","Antik darphane","Ariassos","Yüksek bir tepe üzerine kurulmuş olan Ariassos, günümüz Isparta'nın Yalvaç ilçesi yakınlarındadır. Stadyumu ve su yapılarıyla dikkat çeker.","pisidia-coins"
"Adada (Darphane)","adada","46","1","1","*","Antik darphane","Adada","Pisidya'nın iyi korunmuş kentlerinden Adada, günümüz Isparta'nın Sütçüler ilçesi yakınlarındaki Sağrak köyündedir. İki tapınak ve tiyatrosuyla bilinir.","pisidia-coins"
"Konana (Darphane)","konana","46","1","1","*","Antik darphane","Konana","Önemli bir Pisidya kenti olan Konana, günümüz Isparta ili sınırları içindedir. Sikke basımında Pisidya geleneğini sürdürmüştür.","pisidia-coins"
"Sillyon (Darphane)","sillyon","46","1","1","*","Antik darphane","Sillyon","Yüksek bir tepe üzerinde kurulan Sillyon, günümüz Antalya'nın Serik ilçesi yakınlarındadır. Asurlular dönemine kadar uzanan köklü bir geçmişe sahiptir.","pamphylia-coins"
"Magydos (Darphane)","magydos","46","1","1","*","Antik darphane","Magydos","Antik bir liman kenti olan Magydos, günümüz Antalya'nın Lara bölgesindedir. Pamfilya'nın küçük ama önemli sikke merkezlerinden biriydi.","pamphylia-coins"
"Aigeai (Darphane)","aigeai","46","1","1","*","Antik darphane","Aigeai","Asklepios kültü ve şifa merkeziyle ünlü Aigeai, günümüz Adana'nın Yumurtalık ilçesindedir. Kilikya bölgesinin önemli liman ve darphane kentlerinden biriydi.","cilicia-coins"
"Kelenderis (Darphane)","kelenderis","46","1","1","*","Antik darphane","Kelenderis","Stratejik konumu nedeniyle önemli bir liman kenti olan Kelenderis, günümüz Mersin'in Aydıncık ilçesidir. Kilikya korsanlarının da kullandığı bir üs noktasıydı.","cilicia-coins"
"Issos (Darphane)","issos","46","1","1","*","Antik darphane","Issos","Büyük İskender'in Pers Kralı III. Dareios'u yendiği ünlü İssos Savaşı'nın geçtiği yer olan bu kent, günümüz Hatay'ın İskenderun ilçesi yakınlarındadır.","cilicia-coins"
"Mallos (Darphane)","mallos","46","1","1","*","Antik darphane","Mallos","Kahin Amphilochos tarafından kurulduğuna inanılan Mallos, günümüz Adana'nın Karataş ilçesi yakınlarındadır. Kilikya'nın önemli sikke merkezlerinden biriydi.","cilicia-coins"
"Kastabala (Darphane)","kastabala","46","1","1","*","Antik darphane","Kastabala","Artemis Perasia kültüyle ünlü Kastabala, günümüz Osmaniye'nin Kadirli ilçesi yakınlarındadır. Helenistik ve Roma dönemlerinde önemli bir sikke basım merkeziydi.","cilicia-coins"
"Komana (Darphane)","komana","46","1","1","*","Antik darphane","Komana","Ma tanrıçası kültünün merkezi olan Komana, günümüz Adana ili sınırları içindedir. Önemli bir kutsal kent ve darphane merkeziydi.","cilicia-coins"
"Nicopolis (Darphane)","nicopolis","46","1","1","*","Antik darphane","Nicopolis","Roma İmparatoru Pompeius Magnus tarafından kurulan 'Zafer Şehri' Nicopolis, günümüz Amasya ili yakınlarındadır. Pontus bölgesinin önemli Roma darphanelerinden biriydi.","pontus-coins"
"Komana Pontika (Darphane)","komana-pontika","46","1","1","*","Antik darphane","Komana Pontika","Ma-Enyo tanrıçası kültünün merkezi olan Komana Pontika, günümüz Tokat'ın Gümenek köyü yakınlarındadır. Önemli bir dini ve ticaret merkeziydi.","pontus-coins"
"Sebastopolis (Darphane)","sebastopolis","46","1","1","*","Antik darphane","Sebastopolis","Pontus bölgesinin önemli kentlerinden Sebastopolis, günümüz Tokat ili sınırları içindedir. Roma döneminde gelişen bir sikke basım merkeziydi.","pontus-coins"
"Zela (Darphane)","zela","46","1","1","*","Antik darphane","Zela","Julius Caesar'ın 'Veni, vidi, vici' (Geldim, gördüm, yendim) sözünü söylediği Zela Savaşı'nın geçtiği yer, günümüz Tokat'ın Zile ilçesidir.","pontus-coins"
