"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Ikonion (Darphane)","ikonion-tr","46","1","1","tr-TR","Antik darphane","Ikonion","Selçuklu İmparatorluğu'nun başkenti olmadan önce önemli bir Likaonya kenti olan İkonion, günümüz Konya şehridir. Aziz Paulus'un vaazlarında önemli rol oynar.","lycia-coins"
"Amastris (Darphane)","amastris-tr","46","1","1","tr-TR","Antik darphane","Amastris","Pers Satraplığı döneminden itibaren önemli bir Karadeniz liman kenti olan Amastris, günümüz Bartın'ın Amasra ilçesidir. Paflagonya'nın en önemli darphane merkezi olarak bilinir.","pontus-coins"
"Gangra (Darphane)","gangra-tr","46","1","1","tr-TR","Antik darphane","Gangra","Paflagonya'nın iç kesimlerindeki önemli bir kent olan Gangra, günümüz Çankırı il merkezidir. Konsiller tarihinde önemli bir yere sahiptir.","pontus-coins"
"Pompeiopolis Paphlagonia (Darphane)","pompeiopolis-paphlagonia-tr","46","1","1","tr-TR","Antik darphane","Pompeiopolis Paphlagonia","Pompeius Magnus tarafından Paflagonya'da kurulan kent, günümüz Kastamonu'nun Taşköprü ilçesidir. Bölgenin önemli sikke merkezlerinden biriydi.","pontus-coins"
"Dokimion (Darphane)","dokimion-tr","46","1","1","tr-TR","Antik darphane","Dokimion","Antik dünyanın en değerli beyaz ve renkli mermerlerin çıkarıldığı yer olan Dokimion, günümüz Afyonkarahisar'ın İscehisar ilçesidir. Roma İmparatorluğu'nun en önemli mermer kaynağıydı.","phrygia-coins"
"Midaion (Darphane)","midaion-tr","46","1","1","tr-TR","Antik darphane","Midaion","Efsanevi Kral Midas'ın şehri olan Midaion (Midas Şehri), günümüz Eskişehir'in Yazılıkaya köyü yakınlarındadır. Frigya'nın en eski yerleşimlerinden biridir.","phrygia-coins"
"Akmoneia (Darphane)","akmoneia-tr","46","1","1","tr-TR","Antik darphane","Akmoneia","Zeus Akmonos kültüyle ünlü bu Frigya kenti, günümüz Uşak ili sınırları içindedir. Roma döneminde yoğun sikke basımı yapılmıştır.","phrygia-coins"
"Nakoleia (Darphane)","nakoleia-tr","46","1","1","tr-TR","Antik darphane","Nakoleia","Frigya bölgesinin önemli ticaret merkezlerinden Nakoleia, günümüz Afyonkarahisar'ın Seyitgazi ilçesi yakınlarındadır. Men tanrısı kültüyle bilinir.","phrygia-coins"
"Amorium (Darphane)","amorium-tr","46","1","1","tr-TR","Antik darphane","Amorium","Bizans döneminde Anadolu'nun en önemli kalelerinden biri olan Amorium, günümüz Afyonkarahisar'ın Emirdağ ilçesi yakınlarındadır. 838'deki ünlü kuşatmayla bilinir.","phrygia-coins"
"Philomelion (Darphane)","philomelion-tr","46","1","1","tr-TR","Antik darphane","Philomelion","Haçlı Seferleri sırasında önemli bir konaklama noktası olan Philomelion, günümüz Konya'nın Akşehir ilçesidir. Frigya-Likaonya sınırında stratejik konumdaydı.","phrygia-coins"
"Sebaste Phrygia (Darphane)","sebaste-phrygia-tr","46","1","1","tr-TR","Antik darphane","Sebaste Phrygia","Augustus İmparatoru onuruna Sebaste adını alan bu kent, günümüz Afyonkarahisar ili sınırları içindedir. Roma döneminin önemli darphane merkezlerinden biriydi.","phrygia-coins"
"Appia (Darphane)","appia-tr","46","1","1","tr-TR","Antik darphane","Appia","Frigya bölgesinin küçük ama sikke basan kentlerinden Appia, günümüz Afyonkarahisar ili yakınlarındadır. Men ve Apollon kültüyle bilinir.","phrygia-coins"
"Bruzos (Darphane)","bruzos-tr","46","1","1","tr-TR","Antik darphane","Bruzos","Frigya'nın kuzey kesimindeki sikke basan kentlerden Bruzos, günümüz Bilecik ili sınırları içindedir.","phrygia-coins"
"Temenothyrai (Darphane)","temenothyrai-tr","46","1","1","tr-TR","Antik darphane","Temenothyrai","Frigya-Lidya sınırındaki önemli bir geçit kenti olan Temenothyrai, günümüz Uşak ili yakınlarındadır. Kybele kültüyle bilinir.","phrygia-coins"
"Metropolis Ionia (Darphane)","metropolis-ionia-tr","46","1","1","tr-TR","Antik darphane","Metropolis Ionia","Ephesos yakınlarında önemli bir İyon kenti olan Metropolis, günümüz İzmir'in Torbalı ilçesi yakınlarındadır. İyi korunmuş tiyatro ve tapınak kalıntılarıyla bilinir.","ionia-coins"
"Herakleia ad Latmum (Darphane)","herakleia-ad-latmum-tr","46","1","1","tr-TR","Antik darphane","Herakleia ad Latmum","Latmos Gölü (Bafa Gölü) kıyısında kurulan bu güzel kent, günümüz Muğla'nın Milas ilçesi yakınlarındaki Kapıkırı köyündedir. Endymion efsanesiyle ünlüdür.","ionia-coins"
"Notion (Darphane)","notion-tr","46","1","1","tr-TR","Antik darphane","Notion","Kolophon'un liman kenti olan Notion, günümüz İzmir'in Menderes ilçesi yakınlarındadır. Büyük İskender döneminde önem kazanmıştır.","ionia-coins"
"Myus (Darphane)","myus-tr","46","1","1","tr-TR","Antik darphane","Myus","On İki İyon Kenti'nden biri olan Myus, günümüz Aydın'ın Söke ilçesi yakınlarındadır. Menderes Nehri'nin getirdiği alüvyonlarla limanı dolmuş ve terk edilmiştir.","ionia-coins"
"Pygela (Darphane)","pygela-tr","46","1","1","tr-TR","Antik darphane","Pygela","Ephesos yakınlarında küçük ama önemli bir liman kenti olan Pygela, günümüz İzmir'in Selçuk ilçesi yakınlarındadır.","ionia-coins"
"Dioshieron (Darphane)","dioshieron-tr","46","1","1","tr-TR","Antik darphane","Dioshieron","İyon bölgesinde Zeus ve Artemis tapınaklarıyla ünlü bir kült merkezi olan Dioshieron, günümüz Aydın ili sınırları içindedir.","ionia-coins"
"Anaia (Darphane)","anaia-tr","46","1","1","tr-TR","Antik darphane","Anaia","Samos Adası karşısında stratejik konumlu bir İyon kenti olan Anaia, günümüz Aydın'ın Kuşadası ilçesi yakınlarındadır.","ionia-coins"
"Marathesion (Darphane)","marathesion-tr","46","1","1","tr-TR","Antik darphane","Marathesion","İyon bölgesinin küçük sikke basan kentlerinden Marathesion, günümüz İzmir ili yakınlarındadır.","ionia-coins"
