"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Gryneion (Darphane)","gryneion","46","1","1","*","Antik darphane","Gryneion","Apollon Tapınağı ile ünlü bu kent, günümüz İzmir'in Aliağa ilçesi yakınlarındadır.","aeolis-coins"
"Kyme (Darphane)","kyme","46","1","1","*","Antik darphane","Kyme","İzmir'in Aliağa ilçesi yakınlarında yer alan, Aeolis'in anakaradaki en büyük ve en önemli liman kentidir.","aeolis-coins"
"Larissa (Phrikonis) (Darphane)","larissa","46","1","1","*","Antik darphane","Larissa (Phrikonis)","Günümüz İzmir'in Menemen ilçesi yakınlarındaki Buruncuk mevkiinde bulunan bir Aiol kentidir.","aeolis-coins"
"Myrina (Darphane)","myrina","46","1","1","*","Antik darphane","Myrina","Günümüz İzmir'in Aliağa ilçesi sınırları içinde, Kyme'ye komşu bir diğer önemli liman kentidir.","aeolis-coins"
"Mytilene (Midilli) (Darphane)","mytilene","46","1","1","*","Antik darphane","Mytilene (Midilli)","Aeolis'in ada kanadının en güçlü kenti olan Lesbos (Midilli) adasının başkentidir. Antik lirik şiirin (Sappho gibi) merkezlerinden biriydi.","aeolis-coins"
"Pitane (Darphane)","pitane","46","1","1","*","Antik darphane","Pitane","Günümüzdeki İzmir'in Dikili ilçesine bağlı Çandarlı beldesinin bulunduğu yerde kurulmuştur.","aeolis-coins"
"Herakleia Pontika (Heraclea Pontica) (Darphane)","herakleia-pontika","46","1","1","*","Antik darphane","Herakleia Pontika (Heraclea Pontica)","Karadeniz kıyısındaki önemli bir liman kenti olan Herakleia, günümüz Zonguldak'ın Karadeniz Ereğli ilçesidir.","bithynia-coins"
"Kalkedon (Chalcedon) (Darphane)","kalkedon","46","1","1","*","Antik darphane","Kalkedon (Chalcedon)","İstanbul'un tam karşısında yer alan bu antik liman kenti, günümüz İstanbul'unun Kadıköy ilçesinin bulunduğu yerdedir.","bithynia-coins"
"Nikaia (Nicaea) (Darphane)","nikaia","46","1","1","*","Antik darphane","Nikaia (Nicaea)","Hristiyanlık tarihi için kritik öneme sahip İznik Konsili'nin toplandığı bu şehir, günümüz Bursa'nın İznik ilçesidir.","bithynia-coins"
"Nikomedia (Nicomedia) (Darphane)","nikomedia","46","1","1","*","Antik darphane","Nikomedia (Nicomedia)","Bitinya Krallığı'nın başkenti ve Roma İmparatorluğu'nun en önemli dört başkentinden biri olan Nikomedia, günümüz Kocaeli'nin İzmit ilçesidir.","bithynia-coins"
"Prusa (Prusa ad Olympum) (Darphane)","prusa","46","1","1","*","Antik darphane","Prusa (Prusa ad Olympum)","Uludağ'ın (antik Olympos) eteklerine kurulan bu kent, günümüz Bursa şehridir ve Osmanlı İmparatorluğu'nun ilk başkentlerinden biridir.","bithynia-coins"
"Caesarea (Kayseri) (Darphane)","caesarea","46","1","1","*","Antik darphane","Caesarea (Kayseri)","Kapadokya Krallığı'nın ve daha sonra Roma eyaletinin başkenti olan Caesarea (eski adıyla Mazaka), bölgenin en büyük ve en önemli darphane merkeziydi.","cappadocia-coins"
"Tyana (Darphane)","tyana","46","1","1","*","Antik darphane","Tyana","Roma döneminde önemli bir merkez ve darphane olan Tyana, günümüz Niğde'nin Kemerhisar beldesinde yer almaktadır.","cappadocia-coins"
"Aphrodisias (Darphane)","aphrodisias","46","1","1","*","Antik darphane","Aphrodisias","Heykeltıraşlık okulu ve iyi korunmuş anıtlarıyla ünlü bu kent, Aydın'ın Karacasu ilçesi yakınlarındadır.","caria-coins"
"Halikarnassos (Halikarnas) (Darphane)","halikarnassos","46","1","1","*","Antik darphane","Halikarnassos (Halikarnas)","Dünyanın Yedi Harikası'ndan biri olan anıt mezara (Mausoleum) ev sahipliği yapan bu ünlü kent, günümüzün popüler turizm merkezi Bodrum, Muğla'dır.","caria-coins"
"Knidos (Darphane)","knidos","46","1","1","*","Antik darphane","Knidos","Bilim, sanat ve mimarideki önemiyle bilinen bu liman kenti, Muğla'nın Datça ilçesinin en uç noktasında yer alır.","caria-coins"
"Mylasa (Darphane)","mylasa","46","1","1","*","Antik darphane","Mylasa","Karya'nın antik başkentlerinden biri olan Mylasa, günümüzdeki Muğla'nın Milas ilçesidir.","caria-coins"
"Stratonikeia (Darphane)","stratonikeia","46","1","1","*","Antik darphane","Stratonikeia","Gladyatörler şehri olarak da bilinen ve dünyanın en büyük mermer kentlerinden biri olan Stratonikeia, Muğla'nın Yatağan ilçesi sınırlarındadır.","caria-coins"
"Anazarbos (Anavarza) (Darphane)","anazarbos","46","1","1","*","Antik darphane","Anazarbos (Anavarza)","Ovalık Kilikya'nın en önemli kentlerinden biri olan Anazarbos, günümüz Adana'nın Kozan ilçesi yakınlarındadır.","cilicia-coins"
"Kilikya Pedias (Ovalık Kilikya) (Darphane)","kilikya-pedias","46","1","1","*","Antik darphane","Kilikya Pedias (Ovalık Kilikya)","Doğudaki, Seyhan ve Ceyhan nehirlerinin suladığı verimli Çukurova bölgesidir. Bu verimli topraklar ve stratejik limanlar, bölgeyi tarih boyunca önemli bir ticaret ve sikke basım merkezi yapmıştır.","cilicia-coins"
"Mopsos (Misis) (Darphane)","mopsos","46","1","1","*","Antik darphane","Mopsos (Misis)","Ceyhan Nehri (antik Pyramos) üzerinde yer alan bu antik kent, Adana yakınlarındadır ve Misis Mozaik Müzesi ile tanınır.","cilicia-coins"
"Pompeiopolis (Darphane)","pompeiopolis","46","1","1","*","Antik darphane","Pompeiopolis","Büyük Pompeius tarafından yeniden kurulan bu önemli liman kenti, günümüz Mersin'in Mezitli ilçesindeki Viranşehir'de yer alır.","cilicia-coins"
"Seleukeia ad Kalykadnos (Silifke) (Darphane)","seleukeia-ad-kalykadnos","46","1","1","*","Antik darphane","Seleukeia ad Kalykadnos (Silifke)","Göksu Nehri'nin (antik Kalykadnos) kenarında kurulmuş olan bu şehir, günümüz Mersin'in Silifke ilçesidir.","cilicia-coins"
"Tarsus (Darphane)","tarsus","46","1","1","*","Antik darphane","Tarsus","Aziz Paul'un doğum yeri olarak bilinen ve antik çağlardan beri önemli bir metropol olan Tarsus, günümüzde Mersin'in Tarsus ilçesidir.","cilicia-coins"
"Ankyra (Ancyra) (Darphane)","ankyra","46","1","1","*","Antik darphane","Ankyra (Ancyra)","Galatya'nın Roma dönemindeki başkenti olan Ankyra, günümüz Türkiye'sinin başkenti Ankara'dır. Augustus Tapınağı (Monumentum Ancyranum) ile ünlüdür.","galatia-coins"
"Pessinus (Darphane)","pessinus","46","1","1","*","Antik darphane","Pessinus","Ana tanrıça Kybele kültünün önemli merkezlerinden biri olan Pessinus, Eskişehir'in Sivrihisar ilçesi yakınlarındadır.","galatia-coins"
"Tavion (Tavium) (Darphane)","tavion","46","1","1","*","Antik darphane","Tavion (Tavium)","Galat kabilelerinden Trocmi'lerin merkezi olan Tavion, günümüz Yozgat ili sınırları içinde yer almaktadır.","galatia-coins"
"Ephesos (Efes) (Darphane)","ephesos","46","1","1","*","Antik darphane","Ephesos (Efes)","İzmir'in Selçuk ilçesi sınırları içinde yer alan, Artemis Tapınağı ile ünlü, antik dünyanın en önemli metropollerinden biridir.","ionia-coins"
"Klazomenai (Darphane)","klazomenai","46","1","1","*","Antik darphane","Klazomenai","Günümüz İzmir'in Urla ilçesi yakınlarında bulunan bir diğer önemli İyon kentidir.","ionia-coins"
