title,alias,catid,state,access,language,introtext,ancient_name,modern_name,region_code
"Sardeis","sardeis",CATEGORY_ID,1,1,"*","Lidya Krallığı'nın başkenti ve önemli bir darphane şehri. Altın ve elektron sikkelerin basıldığı önemli bir merkez.","Sardeis","Sart, Manisa, Türkiye","lydia-coins"
"Ephesos","ephesos",CATEGORY_ID,1,1,"*","İyonya'nın en büyük şehirlerinden biri. Artemis Tapınağı ile ünlü antik darphane merkezi.","Ephesos","Selçuk, İzmir, Türkiye","ionia-coins"
"Pergamon","pergamon",CATEGORY_ID,1,1,"*","Hellenistik dönemin en önemli şehirlerinden biri. Attalid Krallığı'nın başkenti ve darphane merkezi.","Pergamon","Bergama, İzmir, Türkiye","mysia-coins"
"Miletos","miletos",CATEGORY_ID,1,1,"*","İyonya'nın önemli kolonizasyon merkezi. Zengin ticaret şehri ve aktif darphane.","Miletos","Balat, Aydın, Türkiye","ionia-coins"
"Smyrna","smyrna",CATEGORY_ID,1,1,"*","Ege kıyısının önemli liman şehri. Çeşitli dönemlerde sikke basan önemli darphane.","Smyrna","İzmir, Türkiye","ionia-coins"
"Alexandria Troas","alexandria-troas",CATEGORY_ID,1,1,"*","Troas bölgesinin en önemli Roma dönemi şehri. Özellikle imparatorluk bronzları basıldı.","Alexandria Troas","Dalyan Köyü, Çanakkale, Türkiye","troas-coins"
"Kyzikos","kyzikos",CATEGORY_ID,1,1,"*","Mysia'nın zengin liman şehri. Elektron staterleri ile ünlü önemli darphane merkezi.","Kyzikos","Belkıs, Balıkesir, Türkiye","mysia-coins"
"Phokaia","phokaia",CATEGORY_ID,1,1,"*","Eski çağın önemli denizcilik merkezi. Erken elektron sikke üretimi yapan darphane.","Phokaia","Foça, İzmir, Türkiye","ionia-coins"
"Klazomenai","klazomenai",CATEGORY_ID,1,1,"*","İyonya'nın önemli şehirlerinden. Zeytinyağı ticareti ve sikke üretimi ile tanınır.","Klazomenai","Urla İskelesi, İzmir, Türkiye","ionia-coins"
"Teos","teos",CATEGORY_ID,1,1,"*","Dionysos kültü ile ünlü İyonya şehri. Şarap ve sikke üretimi merkezi.","Teos","Sığacık, İzmir, Türkiye","ionia-coins"
"Kolophon","kolophon",CATEGORY_ID,1,1,"*","Apollon kültü merkezi. İyonya'nın önemli darphane şehirlerinden biri.","Kolophon","Değirmendere, İzmir, Türkiye","ionia-coins"
"Magnesia ad Maeandrum","magnesia-ad-maeandrum",CATEGORY_ID,1,1,"*","Artemis Leukophryene Tapınağı ile ünlü. Önemli darphane merkezi.","Magnesia ad Maeandrum","Tekin Köyü, Aydın, Türkiye","ionia-coins"
"Erythrai","erythrai",CATEGORY_ID,1,1,"*","İyonya'nın liman şehri. Herakles betimli sikkeleri ile tanınır.","Erythrai","Ildırı, İzmir, Türkiye","ionia-coins"
"Priene","priene",CATEGORY_ID,1,1,"*","Athena Polias Tapınağı'nın bulunduğu şehir. Düzenli sikke üretimi yapılan merkez.","Priene","Güllübahçe, Aydın, Türkiye","ionia-coins"
"Mytilene","mytilene",CATEGORY_ID,1,1,"*","Lesbos adasının başkenti. Önemli elektron ve gümüş sikke üretim merkezi.","Mytilene","Midilli, Yunanistan","aeolis-coins"
"Kyme","kyme",CATEGORY_ID,1,1,"*","Aiolis'in en büyük şehri. Amazonların kurduğu efsanevi darphane merkezi.","Kyme","Aliağa, İzmir, Türkiye","aeolis-coins"
"Aigai","aigai",CATEGORY_ID,1,1,"*","Aiolis'in dağlık bölgelerindeki antik şehir. Keçi betimli sikkeleri ünlüdür.","Aigai","Yuntdağı, İzmir, Türkiye","aeolis-coins"
"Myrina","myrina",CATEGORY_ID,1,1,"*","Aiolis bölgesinin liman şehri. Apollon kültü merkezi ve darphane.","Myrina","Aliağa yakını, İzmir, Türkiye","aeolis-coins"
"Elaia","elaia",CATEGORY_ID,1,1,"*","Pergamon'un liman şehri. Attalid sikkeleri basan önemli darphane.","Elaia","Zeytindağ, İzmir, Türkiye","aeolis-coins"
"Halikarnassos","halikarnassos",CATEGORY_ID,1,1,"*","Mausoleum anıt mezarı ile ünlü Karia'nın başkenti. Önemli darphane merkezi.","Halikarnassos","Bodrum, Muğla, Türkiye","caria-coins"
"Knidos","knidos",CATEGORY_ID,1,1,"*","Ünlü Aphrodite heykeli ile tanınan şehir. Gemi pruvasının bulunduğu sikkeleriyle ünlü.","Knidos","Datça, Muğla, Türkiye","caria-coins"
"Stratonikeia","stratonikeia",CATEGORY_ID,1,1,"*","Zeus ve Hekate kültleri ile ünlü Karia şehri. Roma döneminde aktif darphane.","Stratonikeia","Eskihisar, Muğla, Türkiye","caria-coins"
"Aphrodisias","aphrodisias",CATEGORY_ID,1,1,"*","Aphrodite kültü merkezi. Özellikle imparatorluk çağında sikke basan darphane.","Aphrodisias","Geyre, Aydın, Türkiye","caria-coins"
