"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Ikonion (Darphane)","ikonion-en","46","1","1","en-GB","Ancient mint","Ikonion","Ikonion, an important city of Lycaonia before becoming the capital of the Seljuk Empire, is modern Konya. It played a significant role in Saint Paul's sermons and early Christian missionary activities.","lycia-coins"
"Amastris (Darphane)","amastris-en","46","1","1","en-GB","Ancient mint","Amastris","An important Black Sea port city since the Persian Satrapy period, Amastris is the modern Amasra district of Bartin province. It is known as one of Paphlagonia's most important minting centers.","pontus-coins"
"Gangra (Darphane)","gangra-en","46","1","1","en-GB","Ancient mint","Gangra","An important inland city of Paphlagonia, Gangra is modern Cankiri. It holds a significant place in the history of church councils.","pontus-coins"
"Pompeiopolis Paphlagonia (Darphane)","pompeiopolis-paphlagonia-en","46","1","1","en-GB","Ancient mint","Pompeiopolis Paphlagonia","Founded by Pompeius Magnus in Paphlagonia, this city is modern Taskopru district of Kastamonu province. It was one of the region's important coin minting centers.","pontus-coins"
"Dokimion (Darphane)","dokimion-en","46","1","1","en-GB","Ancient mint","Dokimion","The source of the ancient world's most valuable white and colored marbles, Dokimion is modern Iscehisar district of Afyonkarahisar province. It was the Roman Empire's most important marble source.","phrygia-coins"
"Midaion (Darphane)","midaion-en","46","1","1","en-GB","Ancient mint","Midaion","The legendary city of King Midas, Midaion (Midas City), is near modern Yazilikaya village in Eskisehir province. It is one of Phrygia's oldest settlements.","phrygia-coins"
"Akmoneia (Darphane)","akmoneia-en","46","1","1","en-GB","Ancient mint","Akmoneia","Famous for its cult of Zeus Akmonos, this Phrygian city is within modern Usak province. Intensive coin minting occurred during the Roman period.","phrygia-coins"
"Nakoleia (Darphane)","nakoleia-en","46","1","1","en-GB","Ancient mint","Nakoleia","One of Phrygia's important trade centers, Nakoleia is near modern Seyitgazi district of Afyonkarahisar province. It is known for its cult of the god Men.","phrygia-coins"
"Amorium (Darphane)","amorium-en","46","1","1","en-GB","Ancient mint","Amorium","One of Anatolia's most important fortresses during the Byzantine period, Amorium is near modern Emirdag district of Afyonkarahisar province. It is known for the famous siege of 838.","phrygia-coins"
"Philomelion (Darphane)","philomelion-en","46","1","1","en-GB","Ancient mint","Philomelion","An important stopping point during the Crusades, Philomelion is modern Aksehir district of Konya province. It held a strategic position on the Phrygia-Lycaonia border.","phrygia-coins"
"Sebaste Phrygia (Darphane)","sebaste-phrygia-en","46","1","1","en-GB","Ancient mint","Sebaste Phrygia","This city took the name Sebaste in honor of Emperor Augustus, and is within modern Afyonkarahisar province. It was one of the Roman period's important minting centers.","phrygia-coins"
"Appia (Darphane)","appia-en","46","1","1","en-GB","Ancient mint","Appia","A small but coin-minting city of the Phrygian region, Appia is near modern Afyonkarahisar province. It is known for its cults of Men and Apollo.","phrygia-coins"
"Bruzos (Darphane)","bruzos-en","46","1","1","en-GB","Ancient mint","Bruzos","A coin-minting city in northern Phrygia, Bruzos is within modern Bilecik province.","phrygia-coins"
"Temenothyrai (Darphane)","temenothyrai-en","46","1","1","en-GB","Ancient mint","Temenothyrai","An important pass city on the Phrygia-Lydia border, Temenothyrai is near modern Usak province. It is known for its cult of Cybele.","phrygia-coins"
"Metropolis Ionia (Darphane)","metropolis-ionia-en","46","1","1","en-GB","Ancient mint","Metropolis Ionia","An important Ionian city near Ephesus, Metropolis is near modern Torbali district of Izmir province. It is known for its well-preserved theater and temple remains.","ionia-coins"
