title,alias,catid,state,access,language,introtext,fact_title,fact_description,region_code
"Assos","assos",CATEGORY_ID,1,1,"*","Athena Tapınağı ve filozof Aristoteles ile ünlü antik şehir.","Assos","Athena Tapınağı ile ünlü, filozof Aristoteles'in bir süre yaşadığı, günümüz Çanakkale'nin Ayvacık ilçesine bağlı Behramkale köyünde yer alan liman kentidir.","troas-coins"
"Sardeis - İlk Sikke","sardeis-ilk-sikke",CATEGORY_ID,1,1,"*","Dünyanın ilk sikkelerinin basıldığı darphane.","Sardeis","Lidya Krallığı'nın başkenti, dünyanın ilk sikke darphanesinin bulunduğu şehir. M.Ö. 7. yüzyılda elektron sikkeler basıldı. Günümüz Manisa ilinin Sart köyünde.","lydia-coins"
"Elektron Alaşımı","elektron-alasimi",CATEGORY_ID,1,1,"*","İlk sikkelerin yapıldığı doğal altın-gümüş karışımı.","Elektron","Doğal altın-gümüş alaşımı, Lidyalılar tarafından dünyanın ilk sikkelerinin basımında kullanıldı. Sarımsı rengi ve parlaklığı ile tanınır.","lydia-coins"
"Aristoteles - Assos'ta","aristoteles-assos",CATEGORY_ID,1,1,"*","Ünlü filozof Aristoteles'in Assos'taki yılları.","Aristoteles","Assos'ta 3 yıl yaşadı ve 'Politika' eserinin bir bölümünü burada yazdı. Öğrencileriyle birlikte doğa gözlemleri yaptı.","troas-coins"
"Ephesos - Artemis Tapınağı","ephesos-artemis",CATEGORY_ID,1,1,"*","Dünyanın Yedi Harikası'ndan Artemis Tapınağı.","Ephesos","Artemis Tapınağı, antik dünyanın yedi harikasından biriydi. 127 sütunlu devasa yapı, Ephesos sikkelerinde sıkça betimlenir.","ionia-coins"
"Pergamon Kütüphanesi","pergamon-kutuphane",CATEGORY_ID,1,1,"*","Antik dünyanın en büyük ikinci kütüphanesi.","Pergamon","200.000 parşömen rulonun bulunduğu, İskenderiye'den sonra dünyanın en büyük ikinci kütüphanesiydi. Parşömen burada geliştirildi.","mysia-coins"
"Kyzikos Elektron Staterleri","kyzikos-elektron",CATEGORY_ID,1,1,"*","En sanatsal antik sikkeler olarak kabul edilir.","Kyzikos","M.Ö. 6. yüzyılda basılan elektron staterleri, en sanatsal antik sikkeler olarak kabul edilir. Tuna balığı betimli ünlü sikkeleri vardır.","mysia-coins"
"Miletos - Felsefe Okulu","miletos-felsefe",CATEGORY_ID,1,1,"*","Batı felsefesinin doğduğu şehir.","Miletos","Thales, Anaximandros ve Anaximenes gibi ilk filozofların yaşadığı, Batı felsefesinin doğduğu şehir. İyonya'nın kolonizasyon merkezi.","ionia-coins"
"Tetradrachm","tetradrachm",CATEGORY_ID,1,1,"*","Dört drahmilik gümüş sikke, antik dönemin standart parası.","Tetradrachm","Dört drahmilik gümüş sikke. Antik Yunan dünyasında en yaygın kullanılan para birimi. Yaklaşık 17 gram ağırlığında.","general"
"M.Ö. 547 - Lydya'nın Sonu","mo-547-lydya",CATEGORY_ID,1,1,"*","Pers Kralı Kyros'un Sardeis'i ele geçirmesi.","M.Ö. 547","Pers Kralı Kyros, Sardeis'i ele geçirdi ve Lydya Krallığı sona erdi. Karun'un efsanevi hazineleri Pers İmparatorluğu'na geçti.","lydia-coins"
