"title","alias","catid","state","access","language","introtext","fact_title","fact_description","region_code"
"Gryneion (Darphane)","gryneion-en","46","1","1","en-GB","Ancient mint","Gryneion","Famous for its Temple of Apollo, this city is located near the Aliağa district of modern Izmir.","aeolis-coins"
"Kyme (Darphane)","kyme-en","46","1","1","en-GB","Ancient mint","Kyme","Located near the Aliağa district of Izmir, Kyme was the largest and most important harbor city of mainland Aeolis.","aeolis-coins"
"Larissa (Phrikonis) (Darphane)","larissa-en","46","1","1","en-GB","Ancient mint","Larissa (Phrikonis)","An Aeolian city situated in the Buruncuk area near the Menemen district of present-day Izmir.","aeolis-coins"
"Myrina (Darphane)","myrina-en","46","1","1","en-GB","Ancient mint","Myrina","Within the boundaries of Izmir's Aliağa district, this was another significant harbor city neighboring Kyme.","aeolis-coins"
"Mytilene (Midilli) (Darphane)","mytilene-en","46","1","1","en-GB","Ancient mint","Mytilene (Midilli)","The capital of Lesbos (Midilli), the most powerful city of Aeolis's island wing, it was one of the centers of ancient lyric poetry, home to poets like Sappho.","aeolis-coins"
"Pitane (Darphane)","pitane-en","46","1","1","en-GB","Ancient mint","Pitane","Established at the site of present-day Çandarlı, a town in the Dikili district of Izmir.","aeolis-coins"
"Herakleia Pontika (Heraclea Pontica) (Darphane)","herakleia-pontika-en","46","1","1","en-GB","Ancient mint","Herakleia Pontika (Heraclea Pontica)","An important Black Sea harbor city, Herakleia corresponds to the Karadeniz Ereğli district of modern Zonguldak.","bithynia-coins"
"Kalkedon (Chalcedon) (Darphane)","kalkedon-en","46","1","1","en-GB","Ancient mint","Kalkedon (Chalcedon)","Located directly across from Istanbul, this ancient harbor city stood at the site of present-day Kadıköy district in Istanbul.","bithynia-coins"
"Nikaia (Nicaea) (Darphane)","nikaia-en","46","1","1","en-GB","Ancient mint","Nikaia (Nicaea)","This city, where the historically critical First Council of Nicaea convened in Christian history, is the modern İznik district of Bursa.","bithynia-coins"
"Nikomedia (Nicomedia) (Darphane)","nikomedia-en","46","1","1","en-GB","Ancient mint","Nikomedia (Nicomedia)","The capital of the Kingdom of Bithynia and one of the four most important capitals of the Roman Empire, Nikomedia is the İzmit district of modern Kocaeli.","bithynia-coins"
"Prusa (Prusa ad Olympum) (Darphane)","prusa-en","46","1","1","en-GB","Ancient mint","Prusa (Prusa ad Olympum)","Established at the foothills of Mount Uludağ (ancient Olympos), this city is modern Bursa and served as one of the first capitals of the Ottoman Empire.","bithynia-coins"
"Caesarea (Kayseri) (Darphane)","caesarea-en","46","1","1","en-GB","Ancient mint","Caesarea (Kayseri)","The capital of the Kingdom of Cappadocia and later the Roman province, Caesarea (formerly Mazaka) was the region's largest and most important minting center.","cappadocia-coins"
"Tyana (Darphane)","tyana-en","46","1","1","en-GB","Ancient mint","Tyana","An important center and mint during the Roman period, Tyana is located at Kemerhisar in modern Niğde province.","cappadocia-coins"
"Aphrodisias (Darphane)","aphrodisias-en","46","1","1","en-GB","Ancient mint","Aphrodisias","Famous for its sculpture school and well-preserved monuments, this city is located near the Karacasu district of Aydın.","caria-coins"
"Halikarnassos (Halikarnas) (Darphane)","halikarnassos-en","46","1","1","en-GB","Ancient mint","Halikarnassos (Halikarnas)","Home to one of the Seven Wonders of the World, the Mausoleum, this famous city is modern Bodrum in Muğla province, now a popular tourist destination.","caria-coins"
"Knidos (Darphane)","knidos-en","46","1","1","en-GB","Ancient mint","Knidos","Known for its significance in science, art, and architecture, this harbor city is located at the tip of the Datça peninsula in Muğla.","caria-coins"
"Mylasa (Darphane)","mylasa-en","46","1","1","en-GB","Ancient mint","Mylasa","One of the ancient capitals of Caria, Mylasa is the modern Milas district of Muğla.","caria-coins"
"Stratonikeia (Darphane)","stratonikeia-en","46","1","1","en-GB","Ancient mint","Stratonikeia","Also known as the city of gladiators and one of the world's largest marble cities, Stratonikeia is located within the boundaries of Yatağan district in Muğla.","caria-coins"
"Anazarbos (Anavarza) (Darphane)","anazarbos-en","46","1","1","en-GB","Ancient mint","Anazarbos (Anavarza)","One of the most important cities of Cilicia Pedias, Anazarbos is located near the Kozan district of modern Adana.","cilicia-coins"
"Kilikya Pedias (Ovalık Kilikya) (Darphane)","kilikya-pedias-en","46","1","1","en-GB","Ancient mint","Kilikya Pedias (Ovalık Kilikya)","The eastern region watered by the Seyhan and Ceyhan rivers, comprising the fertile Çukurova plain. These rich lands and strategic harbors made the region an important trade and coin minting center throughout history.","cilicia-coins"
"Mopsos (Misis) (Darphane)","mopsos-en","46","1","1","en-GB","Ancient mint","Mopsos (Misis)","This ancient city on the Ceyhan River (ancient Pyramos) is located near Adana and is known for the Misis Mosaic Museum.","cilicia-coins"
"Pompeiopolis (Darphane)","pompeiopolis-en","46","1","1","en-GB","Ancient mint","Pompeiopolis","Refounded by Pompey the Great, this important harbor city is located at Viranşehir in the Mezitli district of modern Mersin.","cilicia-coins"
"Seleukeia ad Kalykadnos (Silifke) (Darphane)","seleukeia-ad-kalykadnos-en","46","1","1","en-GB","Ancient mint","Seleukeia ad Kalykadnos (Silifke)","Founded on the banks of the Göksu River (ancient Kalykadnos), this city is the modern Silifke district of Mersin.","cilicia-coins"
"Tarsus (Darphane)","tarsus-en","46","1","1","en-GB","Ancient mint","Tarsus","Known as the birthplace of Saint Paul and an important metropolis since ancient times, Tarsus is now the Tarsus district of Mersin.","cilicia-coins"
"Ankyra (Ancyra) (Darphane)","ankyra-en","46","1","1","en-GB","Ancient mint","Ankyra (Ancyra)","The capital of Galatia during the Roman period, Ankyra is modern Ankara, the capital of Turkey. It is famous for the Temple of Augustus (Monumentum Ancyranum).","galatia-coins"
"Pessinus (Darphane)","pessinus-en","46","1","1","en-GB","Ancient mint","Pessinus","One of the important centers of the cult of Cybele, the mother goddess, Pessinus is located near the Sivrihisar district of Eskişehir.","galatia-coins"
"Tavion (Tavium) (Darphane)","tavion-en","46","1","1","en-GB","Ancient mint","Tavion (Tavium)","The center of the Trocmi, one of the Galatian tribes, Tavion is located within the boundaries of modern Yozgat province.","galatia-coins"
